Council,Acute Diarrhoea (<14 Days),Acute Ear Infection,Acute Flaccid Paralysis,Acute Glumerulonephritis,Animal Bite (Suspected Rabies),Animal Bites (No Suspected Rabies),Anthrax,Birth Asphyxia,Bronchial Asthma,Burn,Cardiac Failure,Cerebral Palsy,Cholera,Chronic Ear Infection,Congenital Disorders,Diabetes Mellitus,Diarrhea Chronic (>= 14 Days),Dysentery,Ectopic Pregnancy,Epilepsy,"Eye Diseases, Non-Infectious",Eye Infection,"Eye Infections, Other",Fractures,"Gastrointestinal Diseases, Other Non-Infectious",Gynaecological Diseases,Hepatitis,Hypertension,Infant of Diabetic Mother,Kwashiorkor,Leprosy,Low Birth Weight And Prematurity Complication,Lymphatic Filariasis,Malaria Severe BS +Ve,Malaria Severe Clinical,Malaria Severe mRDT +ve,Marasmic Kwashiorkor,Marasmus,Measles,Meningitis,Mild/Moderate Anaemia,Moderate Malnutrition,"Neonatal Septicaemia, Infections",Neonatal Tetanus,Neoplasms,Nephorotic Syndrome,Neurosis,Non-Infectious Ear Diseases,Non-Infectious Liver Diseases,"Nutritional Disorders, Other",Osteomyelitis,Other Cardiovascular Diseases,Other Diagnosis,Peptic Ulcers,Plague,"Pneumonia, Non-Severe","Pneumonia, Severe",Poisoning,Psychoses,Rabies / Suspected Rabied Bites,Relapsing Fever (Louse Borne Typhus),Renal Failure,Respiratory System disorders other,Rheumatic Fever,Rheumatoid And Joint Diseases,Road Traffic Accidents,STI Genital Discharge Syndrome (GDS),STI Genital Ulcer Diseases (GUD),STI Pelvic Inflammatory Diseases,Schistosomiasis,Severe Anaemia,"Sexually Transmitted Infection, Other",Sickle Cell Disease,"Skin Diseases, Non-Infectious",Skin Infections,Soil Transmitted Helminths,Substance Abuse,Symptomatic Hiv Infection,Thyroid Diseases,Tuberculosis,Typhoid,Upper Respiratory Infections,Urinary Tract Infections,Viral Haemorrhagic Fevers
Ilemela MC,403,35,7,0,0,9,0,8,21,44,0,0,0,53,0,3,35,8,0,0,38,0,53,13,83,8,0,0,0,0,0,5,0,1392,256,28,9,1,0,0,148,10,20,0,0,1,0,1,0,32,0,18,157,1,0,306,138,14,4,8,0,0,13,11,0,30,0,0,0,25,45,0,7,1,32,15,0,14,36,4,37,85,337,0
Kwimba DC,416,3,27,1,0,1,0,0,25,13,4,0,0,0,0,0,22,28,0,5,0,0,1,10,7,0,0,7,0,25,0,0,0,2423,742,0,29,22,0,0,155,45,7,1,0,1,0,0,0,16,2,6,202,2,0,153,295,7,0,0,0,2,0,0,0,7,0,0,0,1,1031,0,58,1,8,9,0,3,2,9,4,77,186,0
Magu DC,302,1,0,0,0,1,0,34,7,44,0,0,0,0,11,0,5,2,0,1,1,0,0,9,40,0,0,0,0,2,0,51,0,1724,459,0,11,13,0,0,25,15,45,1,0,3,0,0,1,3,0,0,120,1,0,166,256,10,0,3,0,0,0,0,0,12,0,0,0,0,350,0,16,1,14,0,0,4,0,4,0,53,119,0
Misungwi DC,368,1,0,0,0,3,0,18,1,16,1,0,0,3,0,1,63,7,0,5,0,0,17,1,27,0,0,6,0,14,0,22,0,2732,72,0,4,5,0,0,308,12,13,0,0,1,0,1,0,6,0,3,112,0,0,262,114,11,1,0,1,0,0,2,0,6,0,0,0,3,655,5,23,2,22,19,0,8,1,2,72,115,239,0
Nyamagana MC,981,8,2,0,0,11,0,137,48,252,31,0,0,0,35,9,11,14,0,16,10,0,2,11,257,120,0,51,0,18,0,105,0,3344,531,0,97,13,0,0,213,29,370,1,0,35,0,0,27,3,8,4,1720,7,0,1246,889,47,0,0,0,0,0,15,0,28,0,0,0,2,380,0,72,17,7,44,0,45,0,14,46,476,1275,0
Sengerema DC,517,0,0,0,0,0,0,90,6,67,3,0,0,2,42,1,12,23,0,1,5,0,18,13,19,5,0,6,0,40,0,355,0,2788,73,0,35,60,0,0,1,37,41,0,13,7,0,0,0,3,16,4,81,0,0,143,709,4,0,4,0,6,0,15,1,20,0,0,0,0,1580,0,22,27,39,18,0,1,3,4,27,22,73,0
Ukerewe DC,978,0,1,1,0,2,0,2,13,37,1,0,0,0,6,1,74,7,0,0,0,0,0,2,51,2,0,0,0,13,0,5,0,2041,427,0,9,8,0,0,252,31,5,0,0,25,0,2,0,6,3,3,133,0,0,447,138,27,0,1,0,0,0,35,0,22,0,0,0,7,245,0,3,3,7,6,0,3,3,0,23,53,419,0
Ludewa DC,482,12,2,0,0,0,0,21,59,26,0,0,0,0,4,12,17,12,0,4,0,0,6,9,80,0,0,3,0,6,0,30,0,552,561,0,6,4,0,0,133,18,93,0,0,3,0,1,2,4,1,109,261,70,0,602,121,12,0,3,0,1,0,5,0,22,0,0,0,57,7,1,4,7,16,17,0,11,1,3,151,148,31,0
Makambako TC,262,4,0,0,0,4,0,4,7,108,1,0,0,1,0,0,0,4,0,7,1,0,0,16,83,0,0,0,0,2,0,2,0,67,4,0,4,4,0,0,44,19,7,0,0,0,0,0,0,0,0,2,357,0,0,409,148,18,1,9,0,0,0,0,0,7,0,0,0,1,11,0,0,1,0,0,0,33,0,0,11,65,147,0
Makete DC,266,2,0,0,0,0,0,0,5,33,2,0,0,0,23,3,23,16,0,13,8,0,2,107,45,2,0,15,0,9,0,2,0,196,32,0,17,1,0,0,79,10,2,0,2,7,0,0,3,2,84,2,178,14,0,654,150,24,0,0,0,1,0,12,1,8,0,0,0,8,45,3,1,2,7,1,0,9,0,11,103,60,45,0
Njombe DC,6,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,6,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,20,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0
Njombe TC,480,1,0,0,0,2,0,0,17,75,2,0,0,0,0,4,19,4,0,1,10,0,3,17,117,17,0,0,0,7,0,0,0,308,113,0,22,11,0,0,72,9,2,0,0,4,0,0,11,5,1,22,456,9,0,1066,169,14,1,2,0,1,0,11,2,17,0,0,0,8,5,4,1,4,20,0,0,1,0,12,66,150,108,0
Wanging'ombe DC,137,3,0,0,0,1,0,17,1,26,1,0,0,0,0,0,43,2,0,3,9,0,7,17,59,2,0,0,0,11,0,38,0,104,200,0,1,4,0,0,22,3,9,0,0,0,0,1,0,7,1,8,118,0,0,309,25,1,0,3,0,0,0,3,1,3,0,0,0,0,5,0,0,2,10,0,0,0,0,4,0,87,73,0
Bagamoyo DC,101,0,0,0,0,0,0,52,40,43,0,0,0,0,4,0,3,0,0,0,0,0,0,15,0,0,0,0,0,15,0,83,0,426,159,0,1,10,0,0,114,5,187,0,0,0,0,0,0,2,0,0,27,0,0,145,185,12,3,6,0,1,0,0,0,0,0,0,0,0,97,0,10,2,11,0,0,12,0,2,5,8,2,0
Chalinze DC,34,0,0,0,0,1,0,6,1,14,0,0,0,0,0,3,3,12,0,0,0,0,62,0,13,0,0,5,0,2,0,0,0,576,261,0,0,2,0,0,63,1,13,0,0,0,0,1,0,1,0,5,29,0,0,113,74,3,0,0,0,0,0,0,0,12,0,0,0,0,51,0,0,10,1,0,0,0,0,0,0,31,72,0
Kibaha DC,8,0,0,0,0,0,0,23,6,36,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,180,6,0,0,0,0,0,12,0,148,0,0,0,0,0,0,0,0,0,12,3,0,37,49,1,0,0,0,0,0,9,0,0,0,0,0,0,17,0,2,0,1,0,0,0,0,0,0,7,49,0
Kibaha TC,147,0,0,2,0,8,0,104,31,52,5,0,0,26,16,11,39,9,0,2,0,0,101,70,11,84,0,2,0,2,0,102,0,1140,236,0,18,19,0,0,153,50,435,2,3,4,0,1,0,20,15,1,766,1,0,168,376,9,0,0,0,2,0,0,1,24,0,0,0,2,542,5,33,5,4,6,0,32,5,6,2,23,116,5
Kibiti DC,68,0,0,0,0,0,0,2,7,15,2,0,0,1,1,0,64,10,0,0,0,0,0,8,0,3,0,0,0,3,0,0,0,756,96,0,0,3,0,0,79,1,29,0,0,0,0,0,0,1,1,0,89,0,0,108,114,10,1,0,0,0,0,0,0,10,0,0,0,0,273,0,3,1,1,0,0,1,0,1,0,8,57,0
Kisarawe DC,112,2,0,0,0,1,0,0,3,39,0,0,0,0,0,0,31,1,0,1,0,0,2,11,11,4,0,0,0,0,0,0,0,698,203,0,0,0,0,0,56,2,0,0,0,0,0,0,0,0,1,0,75,4,0,165,107,7,0,0,0,0,0,4,0,4,0,0,0,0,173,0,2,0,0,1,0,8,0,1,0,4,50,0
Mafia DC,54,2,0,0,0,0,0,14,6,27,0,0,0,0,0,0,6,1,0,0,0,0,0,8,6,2,0,0,0,0,0,40,0,406,0,0,0,3,0,0,35,2,192,0,0,0,0,0,0,0,0,0,88,0,0,91,121,1,0,0,0,0,0,1,0,1,0,0,0,0,46,0,6,0,1,0,0,0,0,0,0,12,21,0
Mkuranga DC,77,2,0,0,0,2,0,48,8,42,0,0,0,0,5,0,58,6,0,0,0,0,0,5,5,0,0,3,0,2,0,276,0,1825,17,16,63,110,0,0,302,606,98,0,0,5,0,2,0,40,1,0,65,1,0,186,216,12,2,2,0,0,0,3,0,11,0,0,0,0,286,0,17,1,14,0,0,64,0,16,0,11,136,0
Rufiji DC,181,0,0,1,0,2,0,1,5,37,3,0,0,0,0,2,3,6,0,1,0,0,0,4,31,6,0,1,0,0,0,1,0,948,240,33,2,1,0,0,114,1,61,0,0,0,0,0,0,2,1,0,115,0,0,267,134,15,1,5,0,0,0,0,0,4,0,0,0,0,162,0,9,0,0,0,0,1,0,4,0,16,57,0
Kalambo DC,92,0,0,2,0,3,0,0,14,20,0,0,0,0,0,0,5,2,0,0,1,0,0,2,8,2,0,1,0,0,0,2,0,221,27,23,3,1,0,0,20,3,0,0,0,4,0,0,1,0,0,1,54,8,0,61,18,2,0,1,0,0,0,0,0,9,0,0,0,0,11,0,0,1,1,0,0,0,0,1,0,19,36,0
Nkasi DC,587,0,32,0,0,12,0,4,8,25,1,0,0,0,0,3,35,7,0,1,0,0,4,3,105,14,0,1,0,16,0,0,1,2020,787,0,12,6,0,0,260,11,14,1,0,1,0,0,1,0,0,0,382,2,0,192,175,3,2,5,0,0,0,18,0,5,0,0,0,6,526,0,3,6,6,37,0,15,1,0,39,78,215,0
Sumbawanga DC,256,2,0,0,0,3,0,0,0,17,0,0,0,0,0,0,7,0,0,1,0,0,7,1,17,3,0,2,0,1,0,0,0,228,105,0,1,0,0,0,24,7,2,0,0,3,0,0,9,2,0,0,55,2,0,90,55,3,0,2,0,0,0,0,0,6,0,0,0,0,13,0,0,0,3,1,0,0,0,0,5,25,3,0
Sumbawanga MC,267,2,0,0,0,4,0,12,16,80,2,0,0,3,7,1,74,24,0,2,0,0,7,111,37,0,0,0,0,8,0,97,0,718,402,0,38,13,0,0,101,39,7,0,0,2,0,0,1,7,6,5,210,16,0,257,114,12,1,1,4,1,0,0,0,20,0,0,0,3,143,0,26,11,6,0,0,38,0,1,26,23,81,0
Madaba DC,28,0,0,0,0,0,0,0,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,49,61,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,33,0,0,42,10,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Mbinga DC,533,2,3,0,0,3,1,0,12,35,0,0,0,4,1,2,124,15,0,2,3,0,0,28,126,6,0,6,0,6,0,0,0,2021,567,0,2,3,0,0,114,0,9,0,0,1,0,1,3,1,3,1,441,19,0,767,272,15,0,5,0,0,0,6,0,38,0,0,0,4,66,36,0,1,8,6,0,20,11,0,44,208,18,0
Mbinga TC,244,5,0,1,0,3,1,0,6,59,0,0,0,0,0,1,54,1,0,1,0,0,2,21,160,0,0,0,0,2,0,0,0,674,368,0,0,1,0,0,47,8,0,0,1,0,0,2,2,0,0,0,166,0,0,330,247,20,0,8,0,3,0,0,0,12,0,0,0,0,84,0,0,2,19,1,0,46,5,0,23,168,124,0
Namtumbo DC,107,0,23,0,0,0,0,2,6,3,0,0,0,0,0,0,2,4,0,1,0,0,0,0,14,0,0,2,0,1,0,1,0,637,399,0,0,1,0,0,53,0,0,0,0,1,0,1,0,2,0,2,79,5,0,148,50,2,0,0,0,0,0,12,0,2,0,0,0,0,37,0,0,0,0,6,0,1,0,0,31,34,20,0
Nyasa DC,257,0,38,0,0,0,0,11,14,7,1,0,0,1,0,2,5,27,0,0,3,0,1,6,21,8,0,6,0,1,0,5,0,1408,552,232,2,0,0,0,173,3,0,1,0,1,0,1,3,5,1,2,77,3,0,272,30,7,8,2,0,0,0,4,1,7,0,0,0,10,62,1,0,2,14,2,0,3,3,0,81,77,27,0
Songea DC,999,7,0,0,0,0,0,53,76,19,10,0,0,1,0,9,0,35,0,21,0,0,0,47,2,0,0,0,0,12,0,72,0,3571,251,0,4,0,0,0,172,22,31,0,10,8,0,0,0,0,3,16,2153,9,0,622,266,1,0,0,0,0,0,1,0,0,0,0,0,9,31,0,6,0,3,0,0,68,0,21,0,207,86,4
Songea MC,421,2,2,0,0,6,0,612,20,62,1,0,0,6,10,1,37,21,0,5,6,0,9,45,59,0,0,0,0,5,0,279,0,1999,527,0,0,3,0,0,303,27,29,0,0,5,0,0,1,7,3,3,211,0,0,655,365,64,4,0,0,0,0,10,0,41,0,0,0,35,162,0,1,2,19,7,0,5,0,12,0,74,138,0
Tunduru DC,126,4,0,0,0,0,0,84,8,7,0,0,0,1,3,0,29,18,0,1,4,0,3,21,273,0,0,18,0,4,0,206,3,2190,615,0,4,2,0,0,198,5,13,1,1,0,0,1,0,2,1,8,277,1,0,185,231,6,0,1,0,0,0,2,0,9,0,0,0,73,594,0,34,0,7,8,0,0,5,1,4,62,56,0
Kahama TC,680,0,0,1,0,1,0,265,2,95,0,0,0,1,22,0,16,5,0,2,0,0,6,31,46,0,0,3,0,9,0,164,0,3469,886,0,61,50,0,0,1770,8,139,0,0,0,0,0,4,56,0,2,246,0,0,675,471,12,0,0,0,0,0,2,0,1,0,0,0,10,1045,0,43,6,9,0,0,0,3,2,0,75,180,0
Kishapu DC,71,0,0,0,0,0,0,0,4,3,0,0,0,2,0,0,5,4,0,0,0,0,0,7,2,3,0,8,0,3,0,0,0,385,248,0,1,0,0,0,55,2,0,0,0,0,0,0,0,2,0,9,26,7,0,31,28,0,0,0,0,0,0,9,0,0,0,0,0,10,32,0,6,0,0,0,0,2,7,1,5,9,36,0
Msalala DC,80,34,0,0,0,0,0,1,14,10,1,0,0,0,0,0,11,4,0,0,0,0,0,1,12,17,0,1,0,0,0,0,0,825,609,0,1,1,0,0,32,7,5,0,0,0,0,0,0,1,1,0,123,0,0,153,74,1,0,0,0,0,0,0,0,5,0,0,0,0,33,0,0,1,0,0,0,1,7,1,28,54,74,0
Shinyanga DC,142,0,0,0,0,1,0,1,3,5,0,0,0,0,0,0,1,3,0,1,3,0,0,0,3,0,0,1,0,2,0,3,0,877,44,0,3,5,0,0,161,34,2,1,0,0,0,0,0,14,0,0,32,0,0,159,70,8,0,0,0,0,0,0,0,6,0,0,0,0,43,0,4,13,5,12,0,12,2,4,10,78,56,0
Shinyanga MC,502,0,0,0,0,11,0,0,5,50,2,0,0,0,36,7,46,4,0,7,183,0,90,69,2,15,0,3,0,31,0,18,0,1610,367,0,22,31,0,0,428,36,2,0,0,34,0,0,0,4,27,0,725,10,0,264,152,21,4,1,0,0,0,154,0,9,0,0,0,0,426,0,31,25,44,45,0,18,0,2,24,283,436,0
Ushetu DC,156,7,0,1,0,0,0,0,44,7,0,0,0,3,2,0,47,1,0,0,3,0,11,0,25,0,0,3,0,5,0,0,0,992,278,0,8,1,0,0,109,5,1,0,0,1,0,0,0,0,1,0,67,0,0,246,129,2,4,0,0,2,0,36,4,0,0,0,0,0,276,0,4,1,6,9,0,12,0,0,9,57,36,0
Bariadi DC,215,0,0,3,0,2,0,20,19,5,0,0,0,0,0,0,29,6,0,0,0,0,0,0,13,0,0,0,0,40,0,13,0,896,9,0,29,25,0,0,263,65,25,0,0,0,0,0,0,3,0,0,40,0,0,88,33,1,0,0,3,0,0,0,0,0,0,0,0,0,522,0,13,0,0,46,0,0,0,0,1,42,53,0
Bariadi TC,322,0,0,0,0,0,0,0,2,21,2,0,0,0,5,0,13,39,0,1,3,0,23,11,24,0,0,1,0,5,0,0,0,1221,541,0,27,3,0,0,244,7,0,30,0,1,0,0,2,0,0,2,555,2,0,221,224,6,0,0,0,0,0,10,2,1,0,0,0,20,339,3,15,4,4,3,0,12,0,9,3,70,145,129
Busega DC,155,0,0,0,0,0,0,0,8,3,0,0,0,0,4,3,2,22,0,6,0,0,0,0,12,2,0,0,0,10,0,7,0,576,464,0,4,14,0,0,180,4,3,0,0,0,0,0,2,4,1,4,53,0,0,119,76,1,0,1,0,0,0,0,0,29,0,0,0,0,587,0,16,5,0,0,0,2,0,3,0,17,44,0
Itilima DC,17,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,207,32,0,0,0,0,0,10,0,1,1,0,0,0,0,0,0,0,0,24,1,0,58,15,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,2,6,12,0
Maswa DC,533,6,1,0,0,1,0,37,5,24,12,0,0,0,2,2,16,17,0,48,1,0,1,18,1,0,0,15,0,7,0,53,0,1794,10,0,21,24,0,0,728,2,21,0,0,0,0,0,28,0,0,8,299,0,0,36,521,10,0,0,0,0,0,1,0,13,0,0,0,0,1013,1,10,1,1,4,0,26,3,22,1,40,268,0
Meatu DC,528,19,0,0,0,0,0,27,5,36,0,0,0,1,0,1,40,17,0,0,97,0,14,0,2,0,0,0,0,5,0,19,0,412,144,0,26,0,0,0,168,42,16,0,0,0,0,0,0,0,0,0,28,0,0,183,81,5,488,0,0,0,0,0,0,2,0,0,0,0,142,0,25,0,31,0,0,46,15,0,26,8,138,1
Ikungi DC,372,4,0,0,0,3,0,14,8,34,2,0,0,1,6,0,21,19,0,6,1,0,1,47,22,0,0,0,0,20,0,12,0,366,456,0,6,19,0,0,123,14,25,0,0,1,0,1,1,0,1,1,301,2,0,571,178,30,1,0,0,0,0,0,1,7,0,0,0,1,70,0,33,5,36,9,0,3,0,10,26,67,89,0
Iramba DC,77,0,1,0,0,5,0,14,2,19,0,0,0,0,0,0,4,1,0,2,0,0,1,18,105,3,0,1,0,0,0,18,0,136,193,0,2,5,0,0,27,2,72,0,0,2,0,0,6,0,2,6,159,39,0,114,40,14,0,3,0,0,0,6,0,4,0,0,0,20,11,0,5,2,1,0,0,2,0,0,2,40,18,0
Itigi DC,26,0,0,1,0,8,0,5,12,29,0,0,0,0,0,3,0,2,0,4,0,0,2,19,97,0,0,5,0,2,0,21,0,879,20,0,6,6,0,0,67,4,30,1,0,4,0,1,4,0,6,11,136,6,0,166,46,8,0,1,1,0,0,0,1,3,0,0,0,0,265,0,12,2,7,0,0,0,5,0,4,54,14,0
Manyoni DC,447,1,0,3,0,3,5,0,13,35,1,0,0,0,0,6,31,39,0,9,2,0,0,13,240,3,0,1,0,2,0,5,0,449,307,0,23,13,0,0,185,5,9,0,0,0,0,2,2,1,0,1,81,1,0,373,104,12,0,3,8,1,0,4,0,8,0,0,0,0,177,0,13,4,2,2,0,15,9,17,32,55,110,1
Mkalama DC,356,0,0,0,0,2,0,0,2,15,0,0,0,0,1,0,12,9,0,1,0,0,1,7,13,0,0,0,0,0,0,0,0,385,11,0,2,3,0,0,22,3,0,0,0,0,0,0,0,1,1,0,263,1,0,199,44,4,0,0,0,0,0,0,1,1,0,0,0,0,23,0,9,0,2,9,0,0,1,3,14,39,24,0
Singida DC,703,0,0,0,0,0,0,6,5,2,2,0,0,0,2,0,22,17,0,1,5,0,2,12,51,22,0,0,0,1,0,28,0,139,337,0,11,11,0,0,34,2,30,0,0,2,0,1,5,6,0,0,169,0,0,655,131,7,0,4,0,0,0,6,3,16,0,0,0,0,28,0,10,5,17,2,0,5,1,3,5,140,70,0
Singida MC,465,2,0,0,0,0,0,5,3,54,0,0,0,0,3,0,87,11,0,2,0,0,4,7,80,0,0,0,0,8,0,3,0,305,236,0,76,39,0,0,136,23,96,0,0,2,0,1,2,1,1,3,163,4,0,410,247,17,1,1,0,0,0,14,0,18,0,0,0,0,99,0,21,2,12,4,0,28,0,2,39,31,47,0
Ileje DC,100,7,0,0,0,1,0,0,6,15,0,0,0,1,0,1,10,16,0,4,3,0,5,8,43,0,0,0,0,6,0,0,0,600,46,0,3,8,0,0,7,17,0,0,1,0,0,2,0,0,0,1,80,0,0,503,99,8,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,2,16,1,0,0,0,1,15,136,69,0
Mbozi DC,671,1,0,0,0,1,0,124,42,79,5,0,0,2,3,3,33,73,0,13,2,0,4,48,170,0,0,7,0,41,0,258,1,182,203,0,34,47,0,0,60,48,26,0,2,5,0,0,3,4,1,7,517,1,0,1039,613,29,0,0,0,0,0,1,2,34,0,0,0,0,88,1,5,11,7,0,0,25,0,3,215,142,116,1
